 Char | Huffman code 
----------------------
 224  |        1000
 225  |        0011
 223  |       01011
 226  |       01001
 222  |      111000
 205  |      110010
 206  |      110001
 208  |      110000
 207  |      101111
 204  |      101110
 209  |      101101
 200  |      101011
 203  |      101010
 213  |      101000
 214  |      100111
 212  |      100110
 211  |      100101
 216  |      011111
 221  |      011110
 202  |      011101
 201  |      011011
 210  |      011010
 220  |      011001
 217  |      011000
 219  |      010100
 218  |      010001
 215  |      010000
 198  |      001010
 199  |      001001
 227  |      000110
 197  |      000011
 196  |     1111110
 195  |     1111010
 192  |     1111001
 194  |     1110111
 193  |     1110100
 190  |     1101100
 188  |     1101001
 189  |     1101000
 191  |     1100110
 187  |     1011000
 184  |     1010010
 186  |     1001001
 185  |     0111001
 176  |     0111000
 182  |     0101010
 172  |     0010001
 180  |     0010000
 181  |     0001110
 173  |     0001010
 179  |     0001001
 178  |     0001000
 174  |     0000101
 171  |     0000011
 177  |     0000010
 169  |     0000000
 168  |    11111110
 170  |    11111011
 175  |    11111010
 183  |    11111001
 167  |    11110111
 163  |    11110110
 164  |    11110001
 166  |    11101101
 228  |    11101100
 0    |    11101011
 165  |    11101010
 156  |    11100111
 160  |    11100110
 159  |    11011111
 153  |    11011110
 161  |    11011101
 162  |    11011100
 157  |    11011011
 158  |    11011010
 152  |    11010111
 150  |    11010101
 151  |    11010100
 155  |    11001111
 154  |    11001110
 148  |    10110010
 149  |    10100111
 146  |    10010001
 147  |    10010000
 144  |    01010110
 145  |    00101111
 142  |    00101100
 143  |    00011110
 137  |    00010110
 138  |    00001000
 139  |    00000011
 136  |    00000010
 140  |   111111110
 141  |   111110001
 135  |   111110000
 134  |   111100000
 133  |   111001001
 132  |   111001000
 131  |   101100111
 130  |   010101111
 229  |   001011100
 128  |   001011010
 127  |   000111111
 126  |   000111110
 129  |   000101110
 124  |  1111111111
 120  |  1111000011
 125  |  1110010111
 121  |  1110010101
 122  |  1101011010
 118  |  1011001101
 123  |  1010011011
 119  |  0010110111
 116  |  0010110110
 114  |  0001011111
 117  |  0000100110
 115  | 11100101100
 230  | 11010110111
 112  | 11010110011
 106  | 10100110101
 113  | 01010111011
 111  | 01010111010
 110  | 00101110111
 1    | 00101110101
 108  | 00010111100
 107  | 00001001011
 105  | 00001001010
 64   | 00001001001
 109  | 00001001000
 56   |111111111000
 67   |111100001000
 57   |111001011011
 91   |111001011010
 65   |111001010001
 58   |111001010000
 103  |110101100100
 66   |110101100011
 96   |110101100010
 104  |101100110001
 102  |101100110000
 81   |101100110011
 63   |101100110010
 85   |110101100001
 61   |110101100000
 101  |101001100011
 51   |101001100010
 92   |101001100101
 59   |101001100100
 88   |101001100111
 95   |101001100110
 89   |101001100001
 77   |010101110001
 48   |010101110000
 98   |010101110011
 69   |010101110010
 71   |001011101101
 82   |001011101000
 90   |000101111011
 80   |000101111010
 97   |000010011101
 79   |000010011100
 54   |000010011111
 100  |000010011110
 93   |1111111110110
 52   |1111111110011
 68   |1111111110010
 73   |1111111110101
 70   |1111111110100
 83   |1111000010011
 72   |1111000010010
 53   |1111000010101
 86   |1111000010100
 76   |1111000010111
 94   |1111000010110
 47   |1101011011011
 50   |1101011011010
 99   |1110010100101
 78   |1110010100100
 74   |1110010100111
 55   |1101011001011
 87   |1101011001010
 75   |1101011011001
 62   |1101011011000
 41   |1010011010001
 60   |1010011010000
 231  |1010011010011
 3    |1010011010010
 42   |1010011000000
 49   |0010111011001
 44   |0010111011000
 84   |0010111010011
 43   |11111111101111
 45   |11100101001101
 46   |10100110000011
 8    |00101110100100
 39   |111111111011101
 4    |111111111011100
 232  |111001010011000
 40   |1110010100110010
 36   |11100101001100111
 38   |11100101001100110
 10   |1010011000001001
 254  |1010011000001000
 2    |1010011000001011
 6    |1010011000001010
 17   |0010111010010101
 21   |0010111010010100
 23   |0010111010010111
 28   |0010111010010110
La entropia de la fuente es:  6.460018538133842
La longitud media del código es:  6.480310644129772
La varianza del codigo de huffman es:  2.2743115831104257
La eficiencia con la codificacion original es:  0.8153883154985037
La eficiencia con la codificacion nueva es:  0.9968686522745154
