 Char | Huffman code 
----------------------
 44   |      111000
 42   |      110101
 46   |      110011
 49   |      110000
 40   |      101110
 52   |      101000
 38   |      100100
 37   |      100010
 1    |      100001
 4    |      011110
 3    |      011100
 34   |      010111
 2    |      010110
 47   |      010011
 50   |      010001
 35   |      001110
 7    |      001100
 32   |      001011
 57   |      001010
 5    |      001000
 54   |      000110
 88   |      000101
 84   |      000100
 80   |      000011
 43   |      000001
 82   |     1111111
 6    |     1111101
 93   |     1111100
 86   |     1111011
 31   |     1111010
 72   |     1111001
 39   |     1111000
 18   |     1110110
 30   |     1110101
 16   |     1110100
 14   |     1110011
 55   |     1110010
 8    |     1101110
 20   |     1101101
 100  |     1101001
 64   |     1101000
 13   |     1100101
 29   |     1100011
 9    |     1100010
 10   |     1011111
 62   |     1011110
 12   |     1011011
 28   |     1011001
 15   |     1010110
 11   |     1010100
 59   |     1010011
 23   |     1001111
 76   |     1001110
 60   |     1001100
 91   |     1001010
 33   |     1000111
 78   |     1000110
 25   |     1000001
 95   |     1000000
 19   |     0111111
 98   |     0111110
 74   |     0111011
 45   |     0110111
 68   |     0110110
 41   |     0110101
 105  |     0110100
 27   |     0110010
 103  |     0110001
 108  |     0110000
 17   |     0101010
 110  |     0101001
 123  |     0100101
 22   |     0100100
 48   |     0100001
 26   |     0100000
 134  |     0011111
 70   |     0011110
 66   |     0010011
 115  |     0010010
 137  |     0000001
 21   |     0000000
 51   |    11101111
 24   |    11011110
 113  |    11011000
 36   |    11001000
 121  |    10110101
 118  |    10110001
 128  |    10110000
 139  |    10101110
 143  |    10101010
 125  |    10100101
 129  |    10011011
 146  |    10010111
 126  |    10010110
 132  |    01110100
 77   |    01010001
 75   |    01010000
 67   |    00110110
 90   |    00110101
 71   |    00011111
 149  |    00011110
 102  |    00011101
 53   |    00011100
 140  |    00001011
 97   |    00001010
 96   |    00001000
 152  |   111111011
 69   |   111111010
 56   |   111111001
 107  |   111011101
 58   |   110111111
 65   |   110111110
 155  |   110110010
 131  |   110010010
 112  |   101101001
 158  |   101011111
 61   |   101011110
 106  |   101010110
 136  |   101001001
 130  |   101001000
 117  |   100110100
 133  |   011101011
 114  |   011101010
 145  |   011001111
 116  |   011001101
 164  |   011001100
 111  |   010101111
 120  |   010101110
 142  |   010101101
 161  |   010101100
 119  |   001101111
 122  |   001101001
 170  |   001101000
 167  |   000010011
 148  |  1111110001
 151  |  1101100111
 173  |  1101100110
 180  |  1100100110
 154  |  1010101111
 183  |  1010101110
 157  |  0011011101
 196  |  0000100101
 176  | 11111100001
 186  | 11111100000
 192  | 11101110011
 189  | 11101110001
 206  | 11101110000
 202  | 11001001111
 216  | 10110100011
 209  | 10110100010
 199  | 10110100001
 162  | 10110100000
 222  | 10011010111
 212  | 10011010101
 219  | 01100111011
 0    | 01100111001
 165  | 01100111000
 177  | 00110111000
 185  | 00001001001
 190  |111011100101
 226  |110010011101
 168  |110010011100
 197  |100110101100
 193  |100110101001
 229  |001101110011
 233  |001101110010
 211  |000010010001
 207  |000010010000
 200  |1110111001001
 204  |1110111001000
 172  |1001101011010
 175  |1001101010001
 179  |1001101010000
 218  |0110011101011
 236  |0110011101010
 215  |0110011101000
 182  |10011010110110
 240  |01100111010011
 203  |100110101101110
 254  |011001110100100
 250  |1001101011011111
 247  |1001101011011110
 243  |0110011101001011
 237  |01100111010010101
 230  |01100111010010100
La entropia de la fuente es:  6.900450087241475
La longitud media del código es:  6.929234350539884
La varianza del codigo de huffman es:  1.0091880469563492
La eficiencia con la codificacion original es:  1.1827165188887672
La eficiencia con la codificacion nueva es:  0.9958459677011549
