 Char | Huffman code 
----------------------
 255  |           1
 3    |         000
 4    |        0110
 6    |      010010
 5    |      001111
 7    |      001100
 8    |      001010
 10   |     0111010
 9    |     0101111
 11   |     0101011
 12   |     0010110
 14   |    01010011
 13   |    01010010
 15   |    01001101
 0    |    01000111
 16   |   011110011
 17   |   010110010
 19   |   010011101
 18   |   010011100
 247  |   010000110
 21   |   001110110
 23   |   001110100
 251  |   001101011
 241  |   001001011
 243  |   001001010
 26   |   001001101
 230  |   001001100
 20   |   001001001
 222  |   001000101
 223  |   001000100
 27   |   001000111
 238  |   001000110
 207  |  0111110101
 215  |  0111110100
 233  |  0111110111
 253  |  0111110110
 25   |  0111111001
 237  |  0111111000
 1    |  0111101010
 24   |  0111101001
 196  |  0111101000
 254  |  0111100101
 22   |  0111100100
 157  |  0111100011
 249  |  0111100010
 231  |  0111100001
 245  |  0111001011
 228  |  0111001010
 191  |  0111000010
 248  |  0101110111
 239  |  0101110110
 250  |  0111000001
 221  |  0111000000
 234  |  0101110101
 236  |  0101110011
 143  |  0101110010
 119  |  0101110001
 146  |  0101100111
 140  |  0101100110
 213  |  0101101001
 167  |  0101101000
 205  |  0101101011
 252  |  0101101010
 48   |  0101101101
 137  |  0101101100
 232  |  0101010011
 182  |  0101010010
 209  |  0101100001
 111  |  0101100000
 160  |  0101100011
 29   |  0101100010
 242  |  0101010101
 225  |  0101010100
 219  |  0101010111
 36   |  0101010110
 244  |  0101010001
 131  |  0101000101
 40   |  0101000100
 126  |  0101000111
 163  |  0101000110
 226  |  0101000001
 202  |  0101000000
 147  |  0101000011
 117  |  0101000010
 99   |  0100111101
 229  |  0100111100
 235  |  0100111111
 246  |  0100111110
 135  |  0100110010
 165  |  0100011001
 206  |  0100011000
 210  |  0100011011
 218  |  0100011010
 144  |  0100010101
 184  |  0100010100
 172  |  0100010111
 227  |  0100010110
 158  |  0100010001
 198  |  0100010000
 178  |  0100010011
 139  |  0100010010
 199  |  0100001110
 129  |  0011101111
 124  |  0011101110
 169  |  0100001001
 204  |  0100001000
 188  |  0100001011
 38   |  0100001010
 183  |  0100000101
 211  |  0100000100
 136  |  0100000111
 41   |  0100000110
 156  |  0100000001
 162  |  0100000000
 152  |  0100000011
 37   |  0100000010
 203  |  0011101011
 200  |  0011100001
 108  |  0011100000
 73   |  0011100011
 194  |  0011100010
 121  |  0011011101
 187  |  0011011100
 51   |  0011011111
 46   |  0011011110
 58   |  0011011001
 49   |  0011011000
 138  |  0011011011
 110  |  0011011010
 39   |  0011100101
 164  |  0011100100
 82   |  0011010101
 77   |  0011010100
 114  |  0011010001
 176  |  0011010000
 81   |  0011010011
 179  |  0011010010
 195  |  0010111101
 69   |  0010111100
 214  |  0010111111
 107  |  0010111110
 166  |  0010111001
 32   |  0010111000
 161  |  0010111011
 141  |  0010111010
 97   |  0010011101
 168  |  0010011100
 142  |  0010011111
 28   |  0010011110
 217  |  0010010001
 177  |  0010010000
 185  | 01111111101
 149  | 01111111100
 106  | 01111111111
 154  | 01111111110
 87   | 01111111001
 94   | 01111111000
 186  | 01111111011
 212  | 01111111010
 181  |  0010000101
 208  |  0010000100
 75   |  0010000111
 240  |  0010000110
 109  |  0010000001
 101  |  0010000000
 93   |  0010000011
 84   |  0010000010
 79   | 01111110101
 78   | 01111110100
 30   | 01111110111
 35   | 01111110110
 42   | 01111010111
 170  | 01111010110
 173  | 01111011101
 68   | 01111011100
 192  | 01111011111
 127  | 01111011110
 197  | 01111011001
 174  | 01111011000
 52   | 01111011011
 175  | 01111011010
 180  | 01111100101
 150  | 01111100100
 44   | 01111100111
 33   | 01111100110
 118  | 01111100001
 31   | 01111100000
 216  | 01111100011
 122  | 01111100010
 74   | 01110011011
 153  | 01110011010
 57   | 01110110101
 91   | 01110110100
 120  | 01110110111
 98   | 01110110110
 60   | 01110110001
 115  | 01110110000
 113  | 01110110011
 133  | 01110110010
 47   | 01110111101
 102  | 01110111100
 80   | 01110111111
 72   | 01110111110
 65   | 01110111001
 100  | 01110111000
 61   | 01110111011
 159  | 01110111010
 96   | 01110011101
 128  | 01110011100
 45   | 01110011111
 220  | 01110011110
 95   | 01110011001
 34   | 01110011000
 116  | 01110000111
 85   | 01110000110
 201  | 01110010001
 83   | 01110010000
 104  | 01110010011
 125  | 01110010010
 90   | 01110001101
 171  | 01110001100
 53   | 01110001111
 54   | 01110001110
 155  | 01110001001
 103  | 01110001000
 88   | 01110001011
 148  | 01110001010
 56   | 01011101001
 70   | 01011101000
 134  | 01011011101
 193  | 01011011100
 105  | 01011011111
 145  | 01011011110
 130  | 01011100001
 66   | 01011100000
 71   | 01010100001
 63   | 01010100000
 123  | 01001100111
 132  | 01001100110
 86   | 01000011111
 55   | 01000011110
 89   | 01001100001
 62   | 01001100000
 151  | 01001100011
 59   | 00111001101
 76   | 00111001100
 43   | 00111001111
 190  | 00111001110
 50   | 00111010101
 189  | 00111010100
 112  |011110000001
 92   |011110000000
 64   |011110000011
 224  |011110000010
 67   |010011000101
 2    |010011000100
La entropia de la fuente es:  1.5672318330475457
La longitud media del código es:  1.9510887772204488
La varianza del codigo de huffman es:  6.322657182160645
La eficiencia con la codificacion original es:  0.20891970540998356
La eficiencia con la codificacion nueva es:  0.8032601342109345
