 Char | Huffman code 
----------------------
 177  |         100
 180  |         011
 175  |         010
 183  |         001
 172  |         000
 186  |        1111
 189  |        1101
 192  |        1100
 169  |        1010
 195  |       10110
 167  |      111011
 164  |      101110
 162  |     1110001
 159  |    11100111
 199  |    10111111
 157  |    10111110
 155  |   111001101
 49   |   111000001
 152  |   101111011
 48   |   101111001
 110  |  1110101101
 113  |  1110101100
 112  |  1110101010
 109  |  1110101000
 150  |  1110100101
 115  |  1110100001
 51   |  1110011000
 46   |  1110010111
 117  |  1110010101
 108  |  1110010011
 148  |  1110000111
 118  |  1110000110
 45   |  1110000100
 146  |  1110000000
 106  |  1011110101
 120  |  1011110100
 202  | 11101011111
 47   | 11101011110
 140  | 11101011100
 144  | 11101010111
 130  | 11101010110
 50   | 11101010010
 134  | 11101001111
 53   | 11101001110
 105  | 11101001100
 142  | 11101001001
 138  | 11101001000
 132  | 11101000111
 43   | 11101000110
 55   | 11101000100
 136  | 11101000001
 127  | 11101000000
 121  | 11100110011
 128  | 11100110010
 125  | 11100101101
 123  | 11100101001
 52   | 11100100100
 103  | 11100100010
 42   | 10111100010
 102  | 10111100001
 58   |111010111010
 101  |111010100110
 44   |111001010001
 0    |111001010000
 41   |111001001011
 40   |111001000110
 54   |111001000011
 65   |111001000000
 57   |111000010111
 56   |111000010110
 61   |111000010101
 94   |111000010100
 99   |111000000101
 97   |101111000111
 38   |101111000000
 37   |1110101001111
 98   |1110100110111
 96   |1110100110110
 93   |1110100010111
 59   |1110100010100
 70   |1110010110001
 92   |1110010110000
 91   |1110010001111
 79   |1110010001110
 60   |1110010010101
 88   |1110010010100
 67   |1110010000101
 87   |1110010000100
 69   |1110010000010
 90   |1110000001111
 66   |1110000001110
 85   |1110000001101
 84   |1110000001001
 86   |1110000001000
 63   |1011110001101
 77   |1011110001100
 73   |1011110000011
 72   |1011110000010
 64   |11101011101111
 83   |11101011101110
 62   |11101011101100
 82   |11101010011101
 81   |11101010011100
 36   |11101001101011
 35   |11101001101010
 71   |11101001101001
 68   |11101001101000
 205  |11101000101011
 76   |11101000101010
 1    |11101000101101
 80   |11100101100111
 39   |11100101100110
 78   |11100101100100
 74   |11100100000111
 75   |11100100000110
 34   |111010001011001
 33   |111010001011000
 3    |111000000110011
 209  |1110101110110111
 213  |1110101110110110
 30   |1110101110110100
 32   |1110010110010111
 4    |1110010110010100
 29   |1110000001100100
 8    |11101011101101010
 24   |11100101100101011
 25   |11100101100101010
 216  |11100101100101101
 2    |11100101100101100
 224  |11100000011001010
 23   |111010111011010111
 27   |111010111011010110
 28   |11100000011000101
 220  |11100000011000100
 232  |111000000110010110
 20   |1110000001100101111
 22   |1110000001100101110
 26   |111000000110000101
 31   |111000000110000100
 228  |111000000110000111
 241  |111000000110000110
 236  |111000000110000001
 245  |111000000110000000
 250  |111000000110000011
 10   |111000000110000010
 254  |111000000110001101
 6    |111000000110001100
 17   |111000000110001111
 21   |111000000110001110
La entropia de la fuente es:  4.009724627833796
La longitud media del código es:  4.055372543636354
La varianza del codigo de huffman es:  3.6799839275452397
La eficiencia con la codificacion original es:  0.5050766675467558
La eficiencia con la codificacion nueva es:  0.9887438415801802
